edge_type_id target_query source_query model_template dynamics_params distance_range target_sections syn_weight
100 pop_name=='CA3e' pop_name=='CA3e' pyr2pyr CA3e2CA3e.exc.json "[0.0, 300.0]" ['soma'] 1
101 pop_name=='CA3e' pop_name=='bgnoisenodesCA3' bg2pyr background2CA3.bg2pyr.json "[0.0, 9999]" ['soma'] 1
